estudio_ini,estudio_fin,impacto_ini,impacto_fin,segmento,arquetipo_ganador,n_arquetipos,n_efectivo,codigos_arquetipos,p_valor_bootstrap_arquetipo,ratio_replicacion,dsr,holdout_pct,pct_dias_gana_segmento,kill_switch_1_0,ev_historico_cop_kwh,supera_capacidad_1_0,mae_f1_promedio_pp,candidata_1_0,valida_cheap_1_0
2017-06-19,2017-09-16,2017-09-17,2017-09-23,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,Trader expuesto a bolsa (sin cobertura),0.005,0.757,1.0,,100.0,0,74.5,0,,1,1
2017-06-19,2017-09-16,2017-09-17,2017-09-23,MEDIANO,Trader no regulado,2,2,Trader no regulado,1.0,0.815,1.0,,100.0,0,71.79,0,,0,0
2017-06-19,2017-09-16,2017-09-17,2017-09-23,GRANDE,Comercializador regulado,1,1,Comercializador regulado,1.0,0.93,1.0,,100.0,0,65.28,1,,0,0
2017-07-19,2017-10-16,2017-10-17,2017-10-23,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,Trader expuesto a bolsa (sin cobertura),0.005,0.667,0.997,,100.0,0,47.58,0,,1,1
2017-07-19,2017-10-16,2017-10-17,2017-10-23,MEDIANO,Trader no regulado,2,2,Trader no regulado,0.005,0.772,0.998,,100.0,0,55.92,0,,0,0
2017-07-19,2017-10-16,2017-10-17,2017-10-23,GRANDE,Comercializador regulado,1,1,Comercializador regulado,1.0,0.911,1.0,,0.0,0,59.87,1,,0,0
2017-08-18,2017-11-15,2017-11-16,2017-11-22,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,"Trader expuesto a bolsa (sin cobertura),Trader no regulado",0.005,1.092,1.0,,100.0,0,91.77,0,,1,1
2017-08-18,2017-11-15,2017-11-16,2017-11-22,MEDIANO,Trader no regulado,2,2,"Trader no regulado,Trader no regulado",0.005,1.053,1.0,,100.0,0,78.47,0,,0,0
2017-08-18,2017-11-15,2017-11-16,2017-11-22,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado",1.0,1.009,1.0,,0.0,0,62.79,1,,0,0
2017-09-17,2017-12-15,2017-12-16,2017-12-22,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,"Trader expuesto a bolsa (sin cobertura),Trader no regulado",0.005,1.217,1.0,,100.0,0,108.53,0,,1,1
2017-09-17,2017-12-15,2017-12-16,2017-12-22,MEDIANO,Trader no regulado,2,2,"Trader no regulado,Trader no regulado",0.005,1.137,1.0,,100.0,0,87.94,0,,0,0
2017-09-17,2017-12-15,2017-12-16,2017-12-22,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado",1.0,1.044,1.0,,0.0,0,66.57,1,,0,0
2017-10-17,2018-01-14,2018-01-15,2018-01-21,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,"Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.005,1.096,0.975,,100.0,0,90.82,0,,1,1
2017-10-17,2018-01-14,2018-01-15,2018-01-21,MEDIANO,Trader no regulado,2,2,"Trader no regulado,Trader no regulado",0.005,1.062,0.988,,100.0,0,77.79,0,,0,0
2017-10-17,2018-01-14,2018-01-15,2018-01-21,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado",1.0,0.991,1.0,,0.0,0,59.56,1,,0,0
2017-11-16,2018-02-13,2018-02-14,2018-02-20,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,Trader expuesto a bolsa (sin cobertura),0.005,0.885,1.0,,100.0,0,58.53,0,,1,1
2017-11-16,2018-02-13,2018-02-14,2018-02-20,MEDIANO,Trader no regulado,2,2,Trader no regulado,1.0,0.9,1.0,,100.0,0,59.21,0,,0,0
2017-11-16,2018-02-13,2018-02-14,2018-02-20,GRANDE,Comercializador regulado,1,1,Comercializador regulado,1.0,0.947,1.0,,100.0,0,57.59,1,,0,0
2017-12-16,2018-03-15,2018-03-16,2018-03-22,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,"Trader expuesto a bolsa (sin cobertura),Trader no regulado",0.005,0.697,1.0,,100.0,0,59.29,0,,1,1
2017-12-16,2018-03-15,2018-03-16,2018-03-22,MEDIANO,Trader no regulado,2,2,"Trader no regulado,Trader no regulado",1.0,0.752,1.0,,85.7,0,58.67,0,,0,0
2017-12-16,2018-03-15,2018-03-16,2018-03-22,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado",1.0,0.905,1.0,,42.9,0,51.9,1,,0,0
2018-01-15,2018-04-14,2018-04-15,2018-04-21,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,"Trader expuesto a bolsa (sin cobertura),Trader no regulado",0.005,1.141,0.999,,100.0,0,89.42,0,,1,1
2018-01-15,2018-04-14,2018-04-15,2018-04-21,MEDIANO,Trader no regulado,2,2,"Trader no regulado,Trader no regulado",1.0,1.114,1.0,,100.0,0,81.16,0,,0,0
